tconst	directors	writers
tt0035074	nm0740537	nm1818225,nm0740537,nm0287430
tt0038836	nm0314671	nm0109205,nm3085481,nm0348687,nm0400056,nm0006241,nm0850895
tt0040844	nm0000248	nm0298215,nm0000248
tt0045826	nm0000248	nm0000248
tt0047396	nm0000033	nm0371088,nm0409997
tt0064820	nm0736394	nm0736394
tt0066435	nm0000248	nm0000248
tt0066563	nm0005348	nm0458228
tt0066957	nm0861679	nm0588475
tt0068715	nm0723629	nm0042509,nm0118018,nm0032449
tt0070689	nm0740270	nm0381568,nm0740270,nm1408164,nm0562577
tt0073768	nm0000540	nm0000540
tt0075765	nm0001239	nm0365383,nm0499626,nm0743584,nm0595573
tt0078111	nm0001501	nm0686895,nm0001501
tt0079165	nm0198790	nm0198790
tt0079368	nm0471420,nm0843089	nm15059100
tt0079672	nm0001023	nm0001023
tt0081145	nm0193303	nm0169785,nm0849601
tt0082009	nm0000835	nm0449499
tt0083833	nm0001469	nm0001469
tt0088818	nm0000877	nm0332417,nm0603037,nm0211160,nm1626462,nm0000877
tt0088885	nm0783676	nm0766558,nm0235931,nm0250172,nm0265283,nm0473653,nm0689871,nm0774050,nm0787324,nm0928821
tt0089218	nm0001149	nm0001060,nm0000229
tt0090008	nm0410769	nm0270040,nm0254531,nm0384173
tt0090199	nm0749914	nm0749914,nm0829044
tt0091203	nm0611683	nm0927074,nm0069282,nm0272511
tt0091223	nm0591171	nm0215269,nm0928832
tt0091544	nm0197088	nm0197088,nm0074990
tt0091939	nm0000490	nm0000490,nm0403678
tt0092263	nm0000247	nm0150916,nm0505000,nm0000247
tt0092632	nm0772259	nm0174304,nm0004111
tt0092695	nm0715916	nm0228300,nm0715916,nm0710020,nm0568505
tt0092877	nm0548533	nm0106022
tt0093201	nm0000386	nm0000386,nm0248082,nm0473500,nm0255650
tt0093220	nm0928832	nm0215269,nm0928832
tt0093338	nm0300965	nm0300965
tt0093351	nm0400059	nm0400059,nm0300310
tt0093790	nm0392833,nm0324271	nm0324271
tt0094071	nm0322331	nm0322331,nm0794503
tt0094764	nm0672459	nm0672459
tt0094884	nm0139111	nm0141012
tt0094900	nm0505415	nm0165235,nm0489911,nm0556893
tt0094948	nm0647393	nm0647393
tt0095178	nm0000770	nm0450543
tt0095289	nm0002312,nm0907413	nm0706274
tt0095560	nm0706296	nm0706296,nm0270841
tt0095563	nm0235387	nm0235387
tt0095714	nm0588964	nm0307257,nm0014234
tt0095821	nm0811525	nm0862326
tt0096089	nm0094288	nm0231929,nm0957650
tt0096153	nm0956205	nm0619547,nm0660016,nm4290255
tt0096259	nm0000519	nm0000519,nm0799060
tt0096744	nm0242059	nm0242059
tt0096786	nm0676248	nm0308602
tt0096787	nm0089940,nm0325776,nm0473941	nm0918955,nm0089940,nm0188580,nm0325776,nm0500858,nm0588818,nm0662505,nm0690112,nm0776081,nm0825733
tt0096794	nm0000229	nm0069547,nm0874308,nm0107288,nm0819546,nm0091200
tt0096799	nm0147251,nm0780944	nm0780931,nm0147251,nm0780944
tt0096808	nm0827839	nm0428423,nm0827839
tt0096875	nm0000454,nm0000647	nm0542928,nm0054171
tt0096943	nm0005421	nm0823469,nm0675098,nm0005421
tt0096969	nm0000231	nm0468407,nm0000231
tt0096976	nm0287025	nm0000626
tt0097003	nm0254527	nm0445914
tt0097027	nm0000361	nm0485718,nm0704792
tt0097088	nm0568546	nm0500377,nm0512894,nm0279089
tt0097109	nm0782384	nm0001188,nm0035146
tt0097115	nm0500609	nm0111177,nm0111180,nm0916325
tt0097123	nm0000095	nm0000095
tt0097142	nm0325204	nm0923607,nm0325204
tt0097162	nm0637518	nm0371249,nm0930241
tt0097165	nm0001837	nm0776114
tt0097166	nm0001239	nm0288021,nm0065174
tt0097235	nm0956052	nm0175300,nm0521649
tt0097239	nm0000915	nm0880261
tt0097240	nm0001814	nm0283942,nm0001814,nm0949127,nm0123221
tt0097276	nm0005196	nm0801953,nm0800363,nm0005196
tt0097298	nm0666999	nm0666999,nm0000685,nm0467385
tt0097322	nm0460141	nm0460141
tt0097328	nm0001486	nm0665932
tt0097336	nm0423646	nm0732430,nm0423646
tt0097341	nm0806915	nm0584192,nm0951139
tt0097428	nm0718645	nm0000101,nm0000601
tt0097429	nm0119106	nm0001942,nm0506461,nm0647865
tt0097435	nm0381638	nm0381638,nm0011293
tt0097441	nm0001880	nm0418883,nm0457016,nm0120837,nm0789946
tt0097474	nm0652860	nm0000118,nm0384185,nm4302073,nm0652860,nm0084537
tt0097481	nm0000552	nm0000552
tt0097498	nm0505415	nm0642564
tt0097567	nm0438279	nm0070660
tt0097573	nm0557789	nm0557789,nm0675072
tt0097579	nm0946811	nm0112586
tt0097626	nm0001353	nm0323945,nm0295271
tt0097631	nm0755197	nm0755197
tt0097655	nm0121166	nm0003694
tt0097665	nm0339245	nm0339245,nm0860292
tt0097737	nm0181902	nm0672459,nm0835732
tt0097755	nm0553843	nm0553843,nm0026035
tt0097756	nm0829343	nm0829343
tt0097769	nm0923802	nm0930748
tt0097770	nm0283500	nm0809700,nm0835732,nm0742132
tt0097778	nm0002132	nm0002132
tt0097782	nm0399853	nm0919876
tt0097815	nm0911486	nm0911486
tt0097910	nm0000386	nm0382166,nm0248082,nm0000386,nm0593634
tt0097958	nm0154819	nm0000455
tt0097967	nm0410139	nm0421099
tt0097981	nm0394280	nm0000127,nm0804345,nm0817468,nm0092018
tt0097994	nm0443445	nm0466843,nm0088738,nm0011923
tt0098051	nm0001112	nm0084090
