tconst	averageRating	numVotes
tt0035074	5.0	207
tt0038836	7.7	3382
tt0040844	3.4	203
tt0045826	4.3	9676
tt0047396	8.5	567363
tt0064820	7.0	831
tt0066435	5.4	89
tt0066563	6.4	2575
tt0066957	5.9	79
tt0068715	5.5	1415
tt0070689	6.6	1360
tt0073768	5.9	5854
tt0075765	6.8	9837
tt0078111	6.5	14180
tt0079165	6.4	55
tt0079368	7.1	3032
tt0079672	7.8	13968
tt0081145	5.5	313
tt0082009	7.2	6043
tt0083833	7.0	24092
tt0088818	5.7	1652
tt0088885	5.6	6293
tt0089218	7.7	325339
tt0090008	5.7	176
tt0090199	6.3	277
tt0091203	7.0	158143
tt0091223	6.1	32667
tt0091544	5.0	3268
tt0091939	6.8	17632
tt0092263	7.4	28618
tt0092632	6.1	9313
tt0092695	7.2	29292
tt0092877	4.7	24
tt0093201	4.3	1097
tt0093220	5.4	13300
tt0093338	6.3	327
tt0093351	3.8	782
tt0093790	4.0	615
tt0094071	4.8	503
tt0094764	6.3	8263
tt0094884	6.7	7818
tt0094900	5.2	273
tt0094948	4.3	250
tt0095178	5.0	2453
tt0095289	6.1	437
tt0095560	3.4	15670
tt0095563	6.0	158
tt0095714	4.6	142
tt0095821	3.5	126
tt0096089	6.0	31
tt0096153	4.8	1344
tt0096259	7.0	4366
tt0096744	6.7	2197
tt0096786	3.3	1997
tt0096787	6.8	50528
tt0096794	6.4	35207
tt0096799	5.2	214
tt0096808	4.4	4061
tt0096875	5.3	5161
tt0096943	6.0	4453
tt0096969	7.2	124113
tt0096976	6.1	1905
tt0097003	4.9	791
tt0097027	7.1	51615
tt0097088	7.7	2531
tt0097109	5.5	1682
tt0097115	5.8	1007
tt0097123	7.8	63156
tt0097142	6.3	5580
tt0097162	6.8	47745
tt0097165	8.1	646668
tt0097166	6.1	5073
tt0097235	6.5	17347
tt0097239	7.3	124021
tt0097240	7.2	43922
tt0097276	6.6	2822
tt0097298	2.7	213
tt0097322	6.9	27613
tt0097328	5.8	14881
tt0097336	6.5	9829
tt0097341	4.6	361
tt0097428	6.6	239164
tt0097429	4.1	3225
tt0097435	5.3	920
tt0097441	7.8	153407
tt0097474	4.9	51857
tt0097481	6.1	27093
tt0097498	3.7	1906
tt0097567	6.1	1884
tt0097573	4.8	1962
tt0097579	6.5	8247
tt0097626	6.1	11898
tt0097631	4.4	175
tt0097655	4.3	301
tt0097665	5.9	254
tt0097737	5.8	26821
tt0097755	4.9	278
tt0097756	5.3	1467
tt0097769	5.6	1800
tt0097770	6.4	49511
tt0097778	6.0	90831
tt0097782	5.9	1132
tt0097815	7.2	82778
tt0097910	5.1	6273
tt0097958	7.5	246754
tt0097967	5.9	13575
tt0097981	5.0	55755
tt0097994	5.5	766
tt0098051	6.4	14036
tt0098054	4.9	299
tt0098067	7.1	58630
tt0098097	5.4	13093
tt0098115	6.5	7234
tt0098128	6.8	108
tt0098141	5.7	28305
tt0098153	6.7	587
tt0098213	7.5	28225
tt0098225	6.8	533
tt0098261	5.9	1540
tt0098273	6.8	48480
tt0098319	7.3	9856
tt0098320	5.5	19222
tt0098325	7.2	685
tt0098354	6.5	24835
tt0098375	4.9	3448
tt0098383	6.1	1001
tt0098384	7.3	68575
tt0098412	6.0	4153
tt0098422	4.5	189
tt0098439	6.4	120566
tt0098453	6.0	11750
tt0098519	6.0	12550
tt0098536	6.2	80687
tt0098554	7.1	120928
tt0098615	6.2	812
tt0098621	6.9	62596
tt0098678	5.7	2039
tt0098782	6.6	710
tt0098831	5.8	185
tt0098962	7.5	1617
tt0098966	5.5	28568
tt0098968	5.6	463
tt0098983	4.4	384
tt0098987	6.4	20251
tt0098994	6.5	4737
tt0098995	5.6	183
tt0098996	4.2	456
tt0098998	5.1	65
tt0099005	5.8	32364
tt0099012	6.6	16163
tt0099014	6.4	1139
tt0099018	5.6	5309
tt0099021	7.8	660
tt0099026	6.0	5114
tt0099028	7.8	1121
tt0099037	7.7	165
tt0099039	5.0	974
tt0099044	5.9	47590
tt0099045	6.0	431
tt0099052	6.5	80465
tt0099054	5.3	575
tt0099059	4.6	445
tt0099073	7.2	7475
tt0099077	7.8	176152
tt0099084	7.3	171
tt0099086	4.2	159
tt0099087	6.3	167
tt0099088	7.5	517807
tt0099090	4.8	329
tt0099091	6.3	12546
tt0099095	6.5	50
tt0099108	5.4	6384
tt0099121	7.5	804
tt0099126	7.0	499
tt0099128	5.7	4324
tt0099134	5.6	186
tt0099137	6.0	755
tt0099141	6.0	50708
tt0099151	5.5	1730
tt0099155	4.9	879
tt0099158	7.1	848
tt0099160	5.8	20276
tt0099164	4.4	590
tt0099165	5.6	28404
tt0099166	6.2	1389
tt0099171	6.7	540
tt0099173	5.8	6361
tt0099179	5.6	133
tt0099180	6.2	19077
tt0099182	6.4	67
tt0099183	5.5	141
tt0099187	4.5	1407
tt0099188	6.5	5750
tt0099191	8.2	18
tt0099197	6.9	4599
tt0099204	5.8	17470
tt0099209	6.2	203
tt0099212	5.7	1234
tt0099219	5.1	81
tt0099223	4.0	337
